Date,Title,Article,Link
"Thu, November 30, 2017| 06:17 pm",City Council approves inflated 2018 Jakarta draft budget,"TheÂ JakartaÂ City Council approved the 2018 draft city budget atÂ Rp 77.117 trillionÂ (US$5.7 billion) on Thursday. Jakarta Governor Anies Baswedan said he appreciated the publicâ€™s attention toward the city budget.Â â€œWe will review the prevailing regulation and mechanism so that the budget can be absorbed within the principles of fairness,â€ù he said. The Jakarta administration has proposedÂ controversial changes to the 2018 draft budget, includingÂ scrappingÂ trillions of rupiah of capital investment for six city-owned companies to accommodate Â key programs initiated by Anies and his deputy Sandiaga Uno, such as the OK OCE entrepreneurship program, Â zero down-payment housing scheme, Â Jakarta Smart Card Plus (KJP Plus) and the Jakarta Health Card Plus (KJP Plus).OtherÂ controversialÂ changes include the proposedÂ Governor's Team for Development Acceleration (TGUPP)Â with 73 members and a budget ofÂ Rp 28 billion,Â from theÂ previousÂ budgetÂ of Rp 2.3 billionÂ with 15 members. Before it wasÂ approved, the plenary session saw councillors voice their concerns about the budget. Following the approval, the draft budget will be submitted to the Home Ministry to be evaluatedÂ within 15 days. Councillor Syarif said he was optimistic that the ministry would approve the budget. â€œEven if there is an evaluation, it will only cover administrative issues, not figures.â€ù Earlier, online platform Kawal Jakarta called on the administration to explain the inflated draft budget. In late October, the budget stood at Rp 74 trillion,Â only to soar to Rp 77.1 trillion in two weeks. (cal/dis)",http://www.thejakartapost.com/news/2017/11/30/city-council-approves-inflated-2018-jakarta-draft-budget.html?fb_comment_id=1463032637150111_1463035880483120
"Thu, November 23, 2017| 08:41 pm",Radicalism prevention key amid rapid IT advancements: NU chairman,"Radicalism prevention and terrorist deradicalization are key issues the country needs to focus on, particularly amid rapid advancements in communications and information technology, the chairman of Nahdlatul Ulama (NU), Indonesia's largest Islamic organization, has said. â€œAdvancements in IT have resulted in many people being easily provoked by radical and intolerant groups. We [NU] will discuss this issue in our national meeting,â€ù NU chairman Said Aqil Siradj said on Thursday during the opening of the NU national meeting (Munas) and major conference (Konbes) in Lombok, West Nusa Tenggara (NTB), which ends on Saturday. Radicalism and deradicalization are among 18 issues to be discussed in the meeting. Said further stated that NU praised the governmentâ€™s decision to issue the 2017 regulation in lieu of law (Perppu) on mass organizations in July. Using the Perppu, authorities disbanded Muslim hard-line group Hizbut Tahrir Indonesia (HTI) for conducting activities that contradicted the state ideology, Pancasila, and Indonesian principles, he added. (Read also: Jokowi praises NUâ€™s roles in building peace, tolerance) Said explained that Indonesia, the world's largest Muslim-majority country, had gained a positive reputation within the international community relative to other countries with large Muslim populations, such as Afghanistan, Iraq and Libya, which have faced recent conflict. He further said that NU fully supported the governmentâ€™s decision to ban mass organizations labeled radical and prevent terrorism and intolerant groups from developing in Indonesia. (ebf)",http://www.thejakartapost.com/news/2017/11/23/radicalism-prevention-key-amid-rapid-it-advancements-nu-chairman.html
"Tue, November 21, 2017| 12:58 pm",Online taxi regulation faces another legal challenge,"Less than one month after going into effect, a revised regulation on online taxi's and ride-hailing apps faces another judicial review because of the inclusion of a vehicle quota, a ceiling tariff, operational zones and the requirements related to vehicle ownership. Transportation Ministryâ€™s secretary general Sugihardjo confirmed the legal challenge to the Supreme Court against Regulation No. 108/2017 on non-route public transportation, but he declined to mention the party that had filed the judicial review. â€œIt is correct, the regulation has been challenged again,â€ù said Sugihardjo as reported by tribunnews.com on Tuesday. The regulation is a revision of the previous regulation, No. 26/2016. The transportation minister issued the revision after the Supreme Court annulled 14 articles of the old regulation as demanded by online taxi drivers and ride-hailing apps providers. Sugihardjo said the ministry had issued the revised regulation to accommodate demands from conventional taxi drivers for fair competition among taxi operators and to prevent further conflict between conventional and online taxis. He claimed the ministry had accommodated all parties as conveyed during the Group Discussion Forum held by the ministries in a number of cities including Jakarta, Surabaya, Medan, Palembang, Bandung, Balikpapan, Semarang and Makassar. Meanwhile, land transportation director general Budi Setiyadi said the ministry had sent a letter in response to the challenge. (bbn)",http://www.thejakartapost.com/news/2017/11/21/online-taxi-regulation-faces-another-legal-challenge.html?fb_comment_id=1507938602607878_1508002492601489
"Thu, October 26, 2017| 07:23 pm",Dems to file petition if govt does not revise mass organizations law: SBY,"The Democratic Party is prepared to file a petition against the government if the latter does not revise the 2017 Mass Organizations Law, party chairman Susilo Bambang Yudhoyono has said. The House of Representatives passed on Tuesday the 2017 government regulation in lieu of law (Perppu) on mass organizations, which replaces the 2013 Perppu on mass organizations. Critics have said that the 2017 law violates the constitutional right to assemble because it gives the government the power to disband organizations without due process of law. Read also: EDITORIAL: The state's Perppu blank check The Democratic Party backed the Perppu under the condition that some provisions be revised immediately should it be passed into law. The Perppu was supported by seven of nine House parties. â€œWhat if the government breaks its promise [...] and does not make a revision [to the law]?â€ù Yudhoyono, a former president, said on the partyâ€™s website. â€œIf that happens, the Dems would issue a political petition."" Loud crowd: Protesters stage a rally outside the House of Representatives building in Jakarta on Friday. They protested the presidential regulation in lieu of the law (Perppu) on mass organizations, which they claimed would pave the way for authoritarian rule. The protesters also expressed concerns over a revival of communism. (JP/Ibrahim Irsyad) The government previously used the Perppu to disband Hizbut Tahrir Indonesia (HTI), a pan-Islamic organization wanting to establish an Islamic caliphate in Indonesia. Critics say the regulation could also be used to silent other organizations, religious or secular, considered to have contradicted the national ideology of Pancasila. Protesters hit the streets in protest, saying the law was a setback to the worldâ€™s third largest democracy. (bbs)",http://www.thejakartapost.com/news/2017/10/26/dems-to-file-petition-if-govt-does-not-revise-mass-organizations-law-sby.html?fb_comment_id=1367755356667339_1368222163287325
"Wed, October 25, 2017| 04:51 pm",Ex-HTI members to challenge new â€˜Ormasâ€™ law in court Â ,"Former members of the now-defunct Hizbut Tahrir Indonesia (HTI) plan to lodge a judicial review against the recently endorsed regulation in lieu of law (Perppu) on mass organizations (Ormas) to the Constitutional Court. The House of Representatives votedÂ on TuesdayÂ to endorse the Perppu, which replaces the 2013 Law on mass organizations, on the grounds it is necessary to protect the state ideology of Pancasila and the 1945 Constitution. The hard-line HTI was the first group to be disbanded under the controversial Perppu, which grants the government the power to disband any groups it deems to be anti-Pancasila. Under the 2013 law, this power lay with the court. The government believed HTI posed a threat to Pancasila as it sought to establish an Islamic caliphate in Indonesia. Â Â  ""The endorsement [of the Perppu] will open the door for the birth of a repressive regime [...] who knows which organizations will be disbanded next in the name of protecting kebhinekaan [unity in diversity]?,"" former HTI spokesman Ismail YusantoÂ saidÂ on Wednesday. He also questioned whether the House truly represented the public's aspirations as many mass organizations invited by the House to a previous hearing rejected the Perppu on the grounds it could grant the government the power to disband organizations without due process in law. ""We want to urge the government and all relevant stakeholders not to use the endorsed Perppu as a way to obstruct preaching and criminalize Islamic teachings and preachers,"" Ismail said. (ahw)",http://www.thejakartapost.com/news/2017/10/25/ex-hti-members-to-challenge-new-ormas-law-in-court.html
"Thu, October 5, 2017| 06:26 pm",Academic community to pledge war on radical ideologies,"Â Wary about the spread of radical and intolerant ideologies on campuses, students and lecturers from universities nationwide are set to make a simultaneous declaration against radical ideologies on Youth Pledge Day on Oct. 28. Â  The declarations will be made simultaneously at universities in all 34 provinces. Around 4.5 million students, lecturers and academicians will take part in the event, according to the organizing committee. â€œThis movement is aimed at revitalizing the younger generationâ€™s commitment to be a constructive element of this nation,â€ù HM Shirozi, the rector of Raden Fatah Islamic State University in Palembang, South Sumatra, saidÂ on Thursday. â€œWe want to emphasize that universities and the academic community support national unity. And we are against radicalism,â€ù he added. The government has declared a war on radical ideologies deemed to be against the state ideology of Pancasila and the 1945 Constitution. President Joko â€œJokowiâ€ù Widodo issued in July a regulation in lieu of law granting his administration to disband radical organizations without due process. The first organization banned by the government was Hizbut Tahrir Indonesia (HTI), which had fought for the creation of a transnational Islamic caliphate. Shirozi said the declaration would be followed up with measures to tackle the spread of radicalism in universities, however he said such move would be made independently by each university. Jokowi met with some 3,000 university leaders in Bali on Sept. 25, on the occasion of which they shared issues related to radical and intolerant ideologies. (ary) Â ",http://www.thejakartapost.com/news/2017/10/05/academic-community-to-pledge-war-on-radical-ideologies.html
"Sat, August 19, 2017| 01:22 pm","Four university staff, students suspected as HTI supporters","Four lecturers and students at the state-run Nusa Cendana University (Undana) in Kupang, East Nusa Tenggara, have been identified as being connected with the disbanded Islamist organization Hizbut Tahrir Indonesia (HTI). ""It is not ethical to mention their names. The point is I have summoned and questioned them,"" Undana rector Frederik Benu told The Jakarta Post on Friday. Frederik said that, during the questioning, all four claimed they had only received invitations for a pengajian (Islamic learning forum) from the HTI back in 2012 without knowing what the organization was and whether the organization intended to change the state ideology of Pancasila. ""It happened several years ago. But I asked them to make written statements that they were not part of the management or supporters of the HTI. I will hand over the statements to the Research, Technology and Higher Education Minister [Muhammad Nasir],"" he said. Read also: I don't have face of a dictator: Jokowi Previously, Frederik said he would expel lecturers and students who were involved in the HTI. ""If you cannot accept diversity, leave this university, leave this nation,"" he said, adding that he had received notification from the ministry over the presence of HTI supporters at the university. There are some 28,000 students in the university, Frederik said. The government has launched an intensive crackdown on state officials known to be HTI supporters since the Law and Human Rights Ministry announced it had disbanded the organization in July. (ecn/bbs)",http://www.thejakartapost.com/news/2017/08/19/four-university-staff-students-suspected-as-hti-supporters.html
"Thu, August 10, 2017| 01:09 pm",Govt plans to ban other 'anti-Pancasila' groups,"Home Affairs Minister Tjahjo Kumolo has said that his ministry is coordinating with the police and regional administrations to disband more mass organizations considered against the state ideology Pancasila. The move comes following the government's controversialÂ disbandment of Islamic group Hizbut Tahrir Indonesia (HTI)Â on July 19. ""Because [many organizations] are at the provincialÂ level, we are coordinatingÂ with the local administrationsÂ to gatherÂ evidence and documents thatÂ indicateÂ certain organizations being against Pancasila,"" TjahjoÂ said on Wednesday as quoted by tempo.co. However, he did not specify whichÂ organizations were suspected of carrying out activities or of being founded on principles that contravened the state ideology. Read also: Iâ€™m no dictator: Jokowi Before filing any proposal to disband the organizations under suspicion, the government would monitor their movements, Tjahjo added. ""[We] need to look closer at them, with supporting data and evidences,"" he added. Earlier on Aug. 3, Law and Human Rights Minister Yasonna H. Laoly claimed that the government did not have any plansÂ to disband more organizations after it had disbanded HTI. The government disbanded the HTI last month through the issuance of a regulation in lieu of law (Perppu) on mass organizations, which President Joko Widodo signed on July 11. The Perppu has been criticized for limiting the people's freedomÂ of assembly. Several petitions for a judicial review that challengeÂ the PerppuÂ have been filed with the Constitutional Court. (yon/bbs)",http://www.thejakartapost.com/news/2017/08/10/govt-plans-to-ban-other-anti-pancasila-groups.html
"Wed, August 9, 2017| 06:15 pm", Constitution does not allow autocratic power: Jokowi,"A day after rebuffing accusations that compared him to a dictator, President Joko ""Jokowi"" Widodo asserted that the 1945 Constitution would not allow an autocratic power to lead the country. ""Referring to our Constitution, there is no institution that can hold autocratic power, let alone a dictatorship. The Constitution ensures the balance of power among state institutions, in which they can control and monitor each other,"" Jokowi said on Wednesday. During his opening speech for the International Symposium of the Association of Asian Constitutional Court and Equivalent Institutions (AACC) in Surakarta, Central Java, Jokowi said Indonesiaâ€™s Constitution also prevented the creation of mobocracy, a system of ruling that is dominated by the mass. (Read also: Constitution prevents dictatorship: Jokowi) The Constitution also becomes the protector of the country's religious, ethnic and cultural diversity, and ensures that people with different opinions are protected, the President said. ""Our Constitutions stands to ensure that no group can unilaterally impose their will without respecting the rights of other citizens,"" he added. On Tuesday, Jokowi responded to criticism that accused his recent policies of having an authoritarian bent, including the presidential regulation in lieu of law (Perppu) on the disbandment of mass organizations that failed to adhere to state ideology Pancasila. The Perppu, which has led to the disbandment of hard-line Islamist organization Hizbut Tahrir Indonesia (HTI), has been met with criticism from rights activists who slammed the regulation for threatening the freedom of assembly. (ebf)",http://www.thejakartapost.com/news/2017/08/09/constitution-does-not-allow-autocratic-power-jokowi.html
"Tue, August 8, 2017| 12:50 pm",I don't have face of a dictator: Jokowi,"Responding to criticism that many of his recent policies had an authoritarian bent, President Joko ""Jokowi"" Widodo has said that he has no predisposition to turn into an autocrat. ""Many people have called me authoritarian, but do I have the face of a dictator?"" Jokowi said, which was greeted with chuckles by participants of the national pencak silak tournament in Lubang Buaya, East Jakarta, as quoted by tempo.co. Jokowi opened the tournament on Tuesday morning. Jokowi was responding to criticism of his recent decision to issue a presidential regulation in lieu of law (Perppu) on the disbandment of mass organizations that failed to adhere to state ideology Pancasila. Following the issuance of the Perppu, the Law and Human Rights Ministry revoked the license of the Islamist organization Hizbut Tahrir Indonesia (HTI). Together with a number of Islamist organizations, the HTI has challenged the decision by filing a complaint with the Constitutional Court.",http://www.thejakartapost.com/news/2017/08/08/i-dont-have-face-of-a-dictator-jokowi.html
