Date,Title,Article,Link,Topics,Year
"Tue, December 12, 2017",Anies unaware of lunch meeting with mass organizations,"Members of several mass organizations went to City Hall on Tuesday to meet Jakarta Governor Anies Baswedan, claiming they had been invited to join him for lunch. Islam Defenders Front (FPI) member Irfan Fauzi, who was part of the group, said FPI had received a lunch invitation from the governor that was scheduled for 12 p.m. at City Hall. However, as the men waited in front of Balai Agung (Great Hall), they were approached by Eliazar Hutapea, head of the mass organization division at the city’s agency for the National and Political Unity Office (Kesbangpol), who informed them the lunch meeting was canceled and would be rescheduled as Anies had been invited to meet President Joko “Jokowi” Widodo. “We had informed them of the cancellation earlier, but the members were disappointed with the explanation,” Eliazer said. Meanwhile, Abdul Majid and his entourage from FPI left City Hall while Eliazer was explaining the reason for the cancellation. Also seen at City Hall were members of the Betawi People's Communication Forum (Forkabi), Trikora and Berkarya Party. Mass organizations were believed to have played a significant role in helping Anies win the gubernatorial election in April. Separately, Anies said he was unaware of the scheduled lunch on Tuesday. “I’ll check it later; I just learned about it,” he told reporters. Anies later said the lunch meeting had been rescheduled to Wednesday evening. (wnd)",http://www.thejakartapost.com/news/2017/12/12/anies-unaware-of-lunch-meeting-with-mass-organizations.html,"anies-baswedan, mass-organizations, FPI, Forkabi",2017
"Fri, December 1, 2017","Rizieq Shihab to attend 212 reunion rally, lawyer says","Islam Defenders Front (FPI) leader Rizieq Shihab, who is on the police's wanted list for allegedly violating the Pornography Law, has planned to attend a 212 reunion rally on Saturday, his lawyer said. The event, named after the date on which it took place, is to commemorate last year's rally on Dec. 2, which demanded the resignation of then-Jakarta governor Basuki “Ahok” Tjahaja Purnama. ""Habib Rizieq will be present physically,"" Rizieq's lawyer, Kapitra Ampera, said on Friday as quoted by kompas.com . Kapitra, however, refused to elaborate on the exact arrival time of the firebrand cleric, who is believed to have been in Saudi Arabia since May, when he was named a suspect. FPI spokesperson Slamet Ma'arif could not confirm whether Rizieq would attend the event, which is planned to take place in Istiqlal Mosque and at National Monument (Monas) in Central Jakarta. Rizieq was named a suspect after alleged steamy WhatsApp chats with a woman named Firza Husein, also a suspect in the case, went viral on the internet. He was named a suspect without undergoing questioning as he had evaded two summons from the police. (fac)",http://www.thejakartapost.com/news/2017/12/01/rizieq-shihab-to-attend-212-reunion-rally-lawyer-says.html,,2017
"Mon, November 27, 2017",Police to deploy personnel at Soekarno-Hatta to anticipate Rizieq’s return,"The Jakarta Police plan to install a temporary security detail at Soekarno-Hatta International Airport in Tangerang, Banten, to anticipate the return of Islamic Defenders Front (FPI) leader Rizieq Shihab, a suspect in a pornography case. Rizieq is expected to attend the ""212 Rally Alumni"" anniversary event at the National Monument on Dec. 2. The event is to mark the Dec. 2, 2016 rally, which included members of the FPI and pushed for the prosecution of then governor Basuki “Ahok” Tjahaja Purnama, a Christian of Chinese descent, on blasphemy charges. ""We are waiting for certainty [on Rizieq's return]. We don't want to speculate,"" Jakarta Police spokesman Sr. Comr. Argo Yuwono said on Monday, as quoted by tribunnews.com . ""Yes, personnel will later be [stationed] at Soekarno-Hatta airport."" Argo could not confirm whether the team would arrest Rizieq immediately upon arrival. Rizieq's lawyer, Kapitra Ampera, had announced earlier that his client would return to Indonesia soon, following a stay of several months in Saudi Arabia after he was named a suspect in a pornography case. Rizieq left the country in May, not long after police named him a suspect over the dissemination of sexually explicit WhatsApp messages in an alleged chat between him and Firza Hussein. Firza was also named a suspect in the case. (yon)",http://www.thejakartapost.com/news/2017/11/27/police-to-deploy-personnel-at-soekarno-hatta-to-anticipate-rizieqs-return.html,"Rizieq-Shihab, 212Rally, police",2017
"Sun, August 20, 2017",Anies wants FPI to improve its image,"Jakarta governor-elect Anies Baswedan has called on the hardline Muslim group Islam Defenders Front (FPI) to join efforts to promote national unity and protect the country's ideology of Pancasila. Speaking at an event to celebrate the FPI's 19th anniversary on Saturday, Anies also urged the organization to improve its image. ""I want to reiterate what I have said before, that from now on the FPI must prove itself as one of the organizations that serve as guardians of the country's diversity,"" Anies said in his speech, as quoted by tempo.co. In his speech, Anies also called on the FPI to help solve the problem of inequity and injustice in society. The former education minister said injustice could create problems that threaten national unity. ""We should not only make efforts to preserve the country's unity, but also fight for social justice for all people in Indonesia,"" Anies said. Anies delivered his speech after joining a predawn Subuh prayer with leaders and activists of the Muslim organization. FPI leader Rizieq Shihab, who is in Saudi Arabia after being named a suspect in a pornography case, played a key role in the election of Anies by mobilizing Muslims in the capital to call for the prosecution of his rival in the 2017 gubernatorial election, Basuki Thahaja ""Ahok"" Purnama.",http://www.thejakartapost.com/news/2017/08/20/anies-wants-fpi-to-improve-its-image.html,"anies-baswedan, FPI, Diversity, anniversary, speech, ahok",2017
"Sat, August 19, 2017",Rizieq wants to go home after being questioned in Saudi,"Islam Defenders Front (FPI) leader Rizieq Shihab expects to return to Indonesia from Saudi Arabia following the move by the National Police to question him in relation to a pornography case in the Middle Eastern kingdom. Rizieq's lawyer, Kapitra Ampera, said after the questioning, which took place at the Indonesian Embassy in Jeddah, the FPI leader showed confidence that there would be a breakthrough in his case. ""He expects to have legal certainty, so that he can go back to Indonesia,"" he said as quoted by tempo.co. Kapitra said with all the information he gave to police investigators during the interview, Rizieq was confident that it would be enough to overturn the allegation against him. Rizieq was named a suspect in the pornography case following the spread of sexually explicit WhatsApp chats allegedly between him and Firza Hussein, who has also been named a suspect in the case. Rizieq, who played a key role in street protests that called for the prosecution of former Jakarta governor Basuki Tjahaja ""Ahok"" Purnama for blasphemy, was put on the police's most-wanted list after he fled to Saudi Arabia in late May. National Police chief Gen. Tito Karnavian confirmed on Friday that a team of investigators had been dispatched to Saudi Arabia to question Rizieq.",http://www.thejakartapost.com/news/2017/08/19/rizieq-wants-to-go-home-after-being-questioned-in-saudi.html,"FPI, Rizieq-Shihab, pornography, police, investigation",2017
"Wed, June 7, 2017",Airport safety simulation conducted prior to Rizieq’s return,"Police have conducted a simulation to ensure Jakarta's safety in facing an Islam Defenders Front (FPI) plan to paralyze roads to the city's main airport, where its leader and fugitive pornography suspect, Rizieq Shihab, is expected arrive on his return to the country. Jakarta Police chief Insp. Gen. Mochamad Iriawan confirmed that security at two airports, Halim Perdanakusuma in East Jakarta and Soekarno-Hatta in Banten, had made the necessary preparations. “We have urged them to not mobilize the masses. However, we have taken anticipatory measures,” Iriawan said on Tuesday as quoted by tribunnews.com . FPI head of legal aid cum Rizieq’s lawyer, Sugito Atmo Pawiro, confirmed that leaflets had been distributed on social media on the action plan to pick Rizieq up at Soekarno-Hatta in Tangerang, Banten. The leaflet urged FPI supporters to “close all the roads toward all [airports’] terminals. Don’t let anyone have a chance to disrupt his arrival. Wait for the D-day, which will be announced nationally.” Rizieq was named a suspect in a case pertaining to a WhatsApp chat deemed pornographic with another suspect, Firza Husein. Rizieq was charged under the 2008 Pornography Law, which carries a punishment of more than five years’ imprisonment. (dra)",http://www.thejakartapost.com/news/2017/06/07/airport-safety-simulation-conducted-prior-to-rizieqs-return.html,"Rizieq-Shihab, security, Airport",2017
"Wed, June 7, 2017",Komnas HAM to investigate vigilantism by hard-line groups,"The National Commission on Human Rights (Komnas HAM) is set to investigate the widespread vigilantism allegedly committed by hard-line groups in Indonesia to determine whether it leads to persecution of minorities. Komnas HAM commissioner Roichatul Aswidah said to decide if the ongoing vigilantism could be categorized as persecution, the commission would use two basic instruments. First, she said, Komnas would determine whether the acts perpetrated by the hard-line groups occurred “systematically” and, second, it would examine whether those acts were “escalating.” “Acts will be categorized as persecution and a violation of human rights if they are carried out systematically and are escalating. Yet, if they do not take place systematically and are not escalating, they can [only] be categorized as general crimes, which can lead to charges under the KUHP [Criminal Code],” she said. Roichatul said perpetrators committing general crimes could be charged under KUHP Article 351 concerning assault and Article 170 concerning violence toward human beings and goods . “Komnas HAM will take a closer look to determine if the acts have been done systematically and are escalating.” Recently, a 15-year-old boy of Chinese descent in East Jakarta was verbally and physically abused by a mob of Islam Defenders Front (FPI) followers because they thought his humorous social media memes insulted their leader, Rizieq Shihab. Similarly, a female Muslim physician in Solok, West Sumatra, was confronted by FPI members who demanded she delete criticisms concerning Rizieq's questionable morals from her social media account. (yon/ebf)",http://www.thejakartapost.com/news/2017/06/06/komnas-ham-to-investigate-vigilantism-by-hard-line-groups.html,"Komnas-HAM, Komnas, persecution, vigilantism, FPI, Rizieq-Shihab, human-rights, human-rights-violations, Fiera-Lovita",2017
"Tue, June 6, 2017",Komnas HAM supports firm police action in tackling vigilantism,"The National Commission on Human Rights (Komnas HAM) conveyed its support for the National Police to take tough legal measures against vigilantism allegedly committed by hard-line groups because such acts violated freedom of expression. “We want to express our respect of the National Police who have tackled the [vigilantism] cases and support them in tackling several other [similar] cases,” Komnas HAM chairman Nur Kholis said on Tuesday. Police recently named two men in East Jakarta suspects for verbally and physically abusing a 15-year-old boy of Chinese descent whom they accused of having insulted Islam Defenders Front (FPI) leader Rizieq Shihab with humorous memes on his social media account. (Read also: Lawyers support police's fight against radicalism, intolerance ) Police have also dismissed the police chief of Solok, West Sumatra, Adj. Sr. Comr. Susmelawati Rosya for failing to protect Fiera Lovita, a female physician who was targeted by FPI members because she criticized Rizieq's immoral behavior. “Freedom of expression is a [basic] human right, which must be respected, protected and fulfilled by the government. Therefore, we condemn individuals or organizations taking arbitrary measures [that harm freedom of expression],” Nur said. Meanwhile, Komnas HAM commissioner M. Imdadun  Rahmat said cases of vigilantism were processed under the Criminal Code (KUHP) and the commission would supervise and make sure that the police worked under proper procedures when tackling the cases. (yon/ebf)",http://www.thejakartapost.com/news/2017/06/06/komnas-ham-supports-firm-police-action-in-tackling-vigilantism.html,"Komnas, Komnas-HAM, vigilantism, National-Police, FPI, Rizieq-Shihab, intolerance, freedom-of-expression",2017
"Tue, June 6, 2017","Lawyers support police's fight against radicalism, intolerance","A group of lawyers attached to the Pancasila Defenders Forum of Advocates (FAPP) have declared their support for the National Police in their fight against radicalism and intolerance. FAPP chairman Teguh Samudra said the support derived from their concerns over the increasing cases of intolerance and intimidation against minority groups, which could threaten Indonesia’s unity. “We support the police in their fight against radicalism and intolerance. Police should not be afraid of being accused of criminalizing ulemas. We believe what the police have done [so far] is in line with the law,” Teguh told journalists after extending the forum’s official support to the police on Monday. National Police chief Gen. Tito Karnavian expressed his thanks for the support, saying it would make the police stronger in combating radicalism and intolerance. “The police have always referred to two pillars for carrying out their actions. They are legal and societal legitimacy. Legal legitimacy means we must always follow the rule of law, while societal legitimacy requires support from the people,” Tito said. Vigilantism has recently occupied media headlines following a pornography case allegedly involving Islam Defenders Front (FPI) chairman Rizieq Shihab. The police named Rizieq a pornography suspect on Monday last week. In the following days, the police issued an arrest warrant for Rizieq, who skipped a police summons and is reportedly seeking shelter in Saudi Arabia. FPI members accused the police of criminalizing ulemas for naming Rizieq a suspect and ordering his arrest. (yon/ebf)",http://www.thejakartapost.com/news/2017/06/06/lawyers-support-polices-fight-against-radicalism-intolerance.html,"radicalism, intolerance, FPI, Islam-Defenders-Front, Rizieq-Shihab, National-Police, Tito-Karnavian, Pancasila",2017
"Tue, June 6, 2017",MUI issues how-to guide to make social media great again,"With social media increasingly turning into a platform for hate and bigotry, the Indonesian Ulema Council (MUI) on Monday issued a guide for Muslims in the country on how to responsibly use the medium. In the 20-page guide, which takes the form of a fatwa (edict), the MUI forbade Muslims from spreading hate speech, slanderous statements, hoaxes, pornographic material and racial slurs, which it deemed haram (forbidden under Islamic law). “While communicating on social media, Muslims must consider the action as part of efforts to promote iman [faith] and ketakwaan [piety] instead of kufur [infidelity] and maksiat [sin],” the MUI said. The body also declared in the edict that it was also haram for Muslims to take the job of a social media “buzzer” whose work is to distribute hoaxes, slanderous accusations and fake news for personal economic gain. “We also proscribe Muslims from [...] supporting and taking advantage of the profession of social media buzzer,” the edict said. MUI chairman Ma’ruf Amin officially handed over the fatwa to Communications and Information Minister Rudiantara in a ceremony on Monday and expressed hope that the guideline could be used as reference for a cybersecurity team at the ministry to prosecute any offenders. Ma’ruf said that although the edict was nonbinding, he expected Muslims in Indonesia to abide by it. The MUI chairman said that the council took the initiative after getting complaints that the effects of fake news and hate speech on social media had worsened in recent months. “The problems of social media have become so serious that President Jokowi made repeated calls for people to stop themselves from spreading hate speech on social media. This is why the MUI stepped in to provide a solution for the nation,” Ma’ruf said. Ma’ruf also said that the MUI decided to take action following reports of a surge in cases of vigilantism, which involved social media users being targeted by hard-line Muslim organizations for allegedly posting statements deemed slanderous to Islam or Muslim clerics. Last week, Fiera Lovita, 40, a physician at Solok Regional Hospital, received police protection after being harassed by members of the Islam Defenders Front (FPI) after she posted statements on Facebook criticizing FPI leader Rizieq Shihab for fleeing the country after being named a suspect in a pornography case. Also last week, a 15-year-old boy of Chinese descent in Cipi- nang Muara, East Jakarta, was subjected to intimidation and violence by alleged supporters of the FPI after posting statements on Facebook that could be interpreted as making fun of Rizieq. Responding to the MUI’s move, Rudiantara said that the fatwa could encourage the ministry to step up its monitoring of incendiary rhetoric on social media. “This is a breath of fresh air for us at the ministry. This could support our work in containing the spread of negative content and hate speech on the internet. The fatwa will be used as a reference for our team, which also has a representative at the MUI, to determine whether to block something on the internet,” Rudiantara said. Rudiantara said the ministry would also work with the National Police to bring criminal charges against netizens who spread hatred and slander on social media.",http://www.thejakartapost.com/news/2017/06/06/mui-issues-how-to-guide-to-make-social-media-great-again.html,"social-media, MUI, Muslims, Rizieq-Shihab, Communications-and-Information-Ministry, Rudiantara, FPI, Fiera-Lovita, cybersecurity, cyber-security, fake-news, hate-speech",2017
