influence.1.1		influence.1.2		influence.1.3		influence.2.1		influence.2.2		influence.2.3		influence.3.1		influence.3.2		influence.3.3		
0.000000000000000000e+00 1.590423021833651043e-02 7.472794031918044864e-05 8.699036517989318096e-01 0.000000000000000000e+00 4.298043295447927063e-03 9.582605397133615320e-11 1.695277643144464641e-09 0.000000000000000000e+00
0.000000000000000000e+00 2.744805976194517744e-02 4.177171054100701028e-05 2.324679657368073471e+00 0.000000000000000000e+00 1.776095600651932810e-02 8.382740494656558413e-11 1.367642946617916922e-09 0.000000000000000000e+00
0.000000000000000000e+00 2.185237251401921377e+00 2.541159394106118360e-05 9.506617361581837233e-01 0.000000000000000000e+00 2.407596781477676362e-02 2.766909295043215405e-10 6.529863481207441561e-09 0.000000000000000000e+00
0.000000000000000000e+00 9.737686798855059722e-01 5.196555705044883343e-05 5.865615681883104005e-01 0.000000000000000000e+00 1.470052886298609321e-02 3.183418672371060828e-10 5.977984512813968044e-09 0.000000000000000000e+00
0.000000000000000000e+00 9.140299452125980606e-01 1.171620338221269846e-04 8.747874531695623013e-01 0.000000000000000000e+00 7.894941035334578083e-02 4.473864967357970450e-10 3.826366042333414501e-09 0.000000000000000000e+00
0.000000000000000000e+00 9.733024981175205648e-01 3.492023731477791773e-04 6.524527984014449888e-01 0.000000000000000000e+00 4.127567540151983599e-02 6.328374133040086581e-10 3.747501944831482644e-09 0.000000000000000000e+00
0.000000000000000000e+00 9.467573075455475440e-01 7.601902737079758239e-05 4.792122356763854341e-01 0.000000000000000000e+00 7.404873962466532178e-02 4.101444691967849711e-09 1.320712013747332222e-08 0.000000000000000000e+00
0.000000000000000000e+00 1.418361483516305199e+00 4.928416497340650188e-05 8.883920564318796564e-02 0.000000000000000000e+00 4.347474764519212997e-01 2.381342370385210132e-09 2.870518822521193077e-08 0.000000000000000000e+00
0.000000000000000000e+00 8.025907163907926023e-01 7.046293168032406696e-05 1.273893063461510600e-01 0.000000000000000000e+00 7.607145903126170949e-02 8.322408769117405016e-09 9.702709680771704617e-09 0.000000000000000000e+00
0.000000000000000000e+00 1.074050453864827670e+00 9.213444059160753223e-05 1.400261065756203405e-01 0.000000000000000000e+00 9.319295938856128614e-02 1.398540952678113105e-08 2.685119639202671320e-08 0.000000000000000000e+00
0.000000000000000000e+00 4.351056565160221212e-01 6.401446625807725988e-05 1.168600701182247459e-01 0.000000000000000000e+00 7.006940304047994950e-01 7.459442478575513843e-09 2.758823774273678591e-08 0.000000000000000000e+00
0.000000000000000000e+00 3.551326674627514612e-01 3.239956373931339759e-06 2.276953661079567370e-01 0.000000000000000000e+00 8.409774493244281945e-01 2.862876985567496827e-10 6.630572579051599069e-09 0.000000000000000000e+00
0.000000000000000000e+00 3.728282386761334055e-01 1.143662122824685191e-05 1.736187159736496677e-01 0.000000000000000000e+00 1.329609813137975494e-01 7.791440616898469131e-10 1.185094131775644600e-09 0.000000000000000000e+00
0.000000000000000000e+00 3.743063279176246372e-01 5.205307505021386911e-07 1.818640425344479339e-01 0.000000000000000000e+00 6.604820499528752942e-01 2.038726377648096756e-10 6.719008484477319787e-10 0.000000000000000000e+00
0.000000000000000000e+00 4.669341242579767015e-01 2.319228742066625374e-07 1.363976361181529873e+00 0.000000000000000000e+00 2.042717023276198418e+00 6.926306313984778709e-11 1.344310935257996197e-09 0.000000000000000000e+00
0.000000000000000000e+00 2.701859454282343545e-02 6.148736522029079723e-08 3.255926577071593719e+00 0.000000000000000000e+00 1.695006385165941376e+00 1.178305978195925139e-11 1.313869580241311460e-09 0.000000000000000000e+00
0.000000000000000000e+00 9.605528295609497280e-03 1.580975435549674511e-08 2.199566144917064925e+00 0.000000000000000000e+00 1.622032783453509763e+00 4.826425186473930224e-12 2.206706323799841571e-10 0.000000000000000000e+00
0.000000000000000000e+00 9.873339534466604728e-03 1.401515258826267183e-08 3.757426417962470122e+00 0.000000000000000000e+00 7.673264655003476653e-01 7.744683490649718049e-12 3.974645395659696785e-09 0.000000000000000000e+00
0.000000000000000000e+00 9.555994804638954371e-03 1.258585887587996162e-08 2.186375698847409232e+00 0.000000000000000000e+00 7.390335251162074570e-01 2.646345793850835379e-12 1.252028409148236425e-08 0.000000000000000000e+00
0.000000000000000000e+00 2.691015370207877622e-02 3.120122009401937990e-08 1.021166170635173787e-01 0.000000000000000000e+00 4.526550544580669744e-01 1.047191749118612465e-11 1.643069861328453046e-08 0.000000000000000000e+00
0.000000000000000000e+00 1.601798379772008396e-02 2.866010754250665049e-08 9.722524255730609355e-02 0.000000000000000000e+00 5.385251700419874110e-01 3.311500514785794947e-11 1.260846555538740762e-07 0.000000000000000000e+00
0.000000000000000000e+00 1.841399696424095289e-02 1.358462303806091708e-08 4.136790396730118113e-02 0.000000000000000000e+00 6.708951558998793585e-02 3.784529096572369646e-11 3.974496472369713822e-07 0.000000000000000000e+00
0.000000000000000000e+00 3.257309294289461449e-02 1.984824589127016156e-08 2.772056692624064872e-02 0.000000000000000000e+00 1.937967099009914318e-01 8.426041343218289755e-11 1.122012937895778992e-07 0.000000000000000000e+00
0.000000000000000000e+00 6.719177918412763684e-02 4.380394288046694347e-09 1.111274489976200042e-01 0.000000000000000000e+00 9.853642790043105892e-02 3.254546624248847476e-10 3.670529926277999027e-10 0.000000000000000000e+00
0.000000000000000000e+00 3.131049513931052908e-02 4.771347131030214891e-09 3.257500820021888566e-01 0.000000000000000000e+00 2.864964732781108969e-01 8.117102875320688573e-11 3.486000554106880296e-11 0.000000000000000000e+00
0.000000000000000000e+00 3.114919045577963994e-02 2.224499515115374253e-09 1.015937709170722236e-01 0.000000000000000000e+00 3.876209857552406213e-01 1.253721761735826761e-08 1.939524872508679121e-10 0.000000000000000000e+00
0.000000000000000000e+00 2.418134749768761360e-01 3.209008655544568122e-10 3.264664205704065902e-01 0.000000000000000000e+00 1.459761081209578482e-01 7.250257041518922592e-09 3.288527008790942627e-11 0.000000000000000000e+00
0.000000000000000000e+00 2.225486533337510953e-01 2.094361492259410459e-10 6.508562672652569159e-01 0.000000000000000000e+00 1.478824606031355626e-01 6.105802863057556574e-09 2.675797277039843638e-11 0.000000000000000000e+00
0.000000000000000000e+00 1.154842185152917394e-01 1.910907577851978104e-10 5.021397060259384926e-01 0.000000000000000000e+00 7.662716563254967639e-02 1.999336041314772961e-08 5.630922147879740144e-09 0.000000000000000000e+00
0.000000000000000000e+00 1.945567462927384750e-01 2.997572048729632207e-07 1.269475844330452352e+00 0.000000000000000000e+00 5.643585416126922771e-01 1.005895197082712207e-08 1.281031557527773696e-08 0.000000000000000000e+00
0.000000000000000000e+00 1.029806857082880445e+00 2.064195064551797823e-07 2.605196849342811927e+00 0.000000000000000000e+00 1.576419855339161458e-01 8.540840419997975328e-09 4.183593435790290140e-09 0.000000000000000000e+00
0.000000000000000000e+00 6.960145965600860185e-01 4.549778200397507748e-07 2.423868610410803426e-01 0.000000000000000000e+00 1.263582282182472427e-01 2.092877191883239131e-08 2.720844367842217184e-09 0.000000000000000000e+00
0.000000000000000000e+00 3.434336545270979535e-01 1.649556310408312990e-07 4.811427484890744566e-01 0.000000000000000000e+00 1.608777216806211718e-01 1.400755168403819000e-08 2.630876999177428637e-09 0.000000000000000000e+00
0.000000000000000000e+00 8.688700163770323170e-01 3.727894012418598713e-07 3.006622854469400696e-01 0.000000000000000000e+00 5.281961217710450657e-02 3.021286529616589778e-08 1.493040359669506187e-09 0.000000000000000000e+00
0.000000000000000000e+00 6.832143482069906737e-01 1.248645134718210702e-06 4.424958842162224903e-01 0.000000000000000000e+00 2.283884845742416292e-01 5.824408571674390028e-08 1.508662252017343725e-09 0.000000000000000000e+00
0.000000000000000000e+00 6.100336505597404591e-01 1.112788919076716300e-06 6.985095530124386942e-02 0.000000000000000000e+00 8.494775133407364565e-02 3.235146350331321651e-07 6.738438111239046045e-10 0.000000000000000000e+00
0.000000000000000000e+00 4.929303977589764574e-01 1.835557391201290569e-06 4.539043345628811926e-02 0.000000000000000000e+00 1.699834669552040614e-02 6.883967999495053840e-07 7.670502562540299539e-10 0.000000000000000000e+00
