log.prior	log.likelihood	log.likelihood.test.set
-6.556767570483229974e+02 -4.578682995257694870e+02 0.000000000000000000e+00
-6.587485070748300586e+02 -4.581883324201285745e+02 0.000000000000000000e+00
-6.647711858752996932e+02 -4.593362859528878630e+02 0.000000000000000000e+00
-6.751665497207962972e+02 -4.587387175280198335e+02 0.000000000000000000e+00
-6.812062177894860042e+02 -4.625420784224561999e+02 0.000000000000000000e+00
-6.911479910706126475e+02 -4.597841890374343734e+02 0.000000000000000000e+00
-6.973445332368072513e+02 -4.634826258772341134e+02 0.000000000000000000e+00
-6.980419402191554354e+02 -4.683846013237433681e+02 0.000000000000000000e+00
-6.953982193802056599e+02 -4.702746465319064555e+02 0.000000000000000000e+00
-6.871721838117620109e+02 -4.642909948036221977e+02 0.000000000000000000e+00
-6.852883174679828926e+02 -4.632238016041702622e+02 0.000000000000000000e+00
-6.763091673301995570e+02 -4.606992811666585794e+02 0.000000000000000000e+00
-6.740672191164380820e+02 -4.611736988033844113e+02 0.000000000000000000e+00
-6.608633663112608474e+02 -4.601678738449230650e+02 0.000000000000000000e+00
-6.646154078910178669e+02 -4.612330172315564027e+02 0.000000000000000000e+00
-6.594590705731479829e+02 -4.606140857516024880e+02 0.000000000000000000e+00
-6.551051055882244327e+02 -4.577537611260731865e+02 0.000000000000000000e+00
-6.499632840864283025e+02 -4.561825957961231097e+02 0.000000000000000000e+00
-6.483376572375308342e+02 -4.572889314714063858e+02 0.000000000000000000e+00
-6.460119061783252619e+02 -4.544367020253389455e+02 0.000000000000000000e+00
-6.490228019168609990e+02 -4.536106842154740661e+02 0.000000000000000000e+00
-6.403879879314026766e+02 -4.513954344255805609e+02 0.000000000000000000e+00
-6.409047437602315540e+02 -4.538228574928480157e+02 0.000000000000000000e+00
-6.301839634907562413e+02 -4.565793584795018205e+02 0.000000000000000000e+00
-6.266785783555628768e+02 -4.580937187625643219e+02 0.000000000000000000e+00
-6.338329987367644662e+02 -4.577486159865122772e+02 0.000000000000000000e+00
-6.288937418338713314e+02 -4.579355040198150846e+02 0.000000000000000000e+00
-6.310572240317077330e+02 -4.580874104057019167e+02 0.000000000000000000e+00
-6.300000083328727669e+02 -4.588621322720181865e+02 0.000000000000000000e+00
-6.378356559858601713e+02 -4.622129747939027880e+02 0.000000000000000000e+00
-6.350220169440033260e+02 -4.631358294031118703e+02 0.000000000000000000e+00
-6.335351661523269513e+02 -4.683429046165160230e+02 0.000000000000000000e+00
-6.277924534639690819e+02 -4.625902167864898615e+02 0.000000000000000000e+00
-6.386123191919569990e+02 -4.625283302007620136e+02 0.000000000000000000e+00
-6.378473591019052265e+02 -4.615196890285230893e+02 0.000000000000000000e+00
-6.429185750238909804e+02 -4.614937319199232775e+02 0.000000000000000000e+00
-6.509654451085710889e+02 -4.644558335357555734e+02 0.000000000000000000e+00
-6.389542334928279388e+02 -4.635979601673751631e+02 0.000000000000000000e+00
-6.344181448211833185e+02 -4.642231896769264949e+02 0.000000000000000000e+00
-6.349702116492045434e+02 -4.614773378631102787e+02 0.000000000000000000e+00
-6.452650446036834637e+02 -4.616320187696587709e+02 0.000000000000000000e+00
-6.378966402882085731e+02 -4.586718732672450756e+02 0.000000000000000000e+00
-6.429198756448057566e+02 -4.609931555444186415e+02 0.000000000000000000e+00
-6.464162810609452663e+02 -4.620144579997778465e+02 0.000000000000000000e+00
-6.470459816507346886e+02 -4.632778256266997801e+02 0.000000000000000000e+00
-6.454771215898356331e+02 -4.604431880688883325e+02 0.000000000000000000e+00
-6.442827093198637840e+02 -4.596784613971618114e+02 0.000000000000000000e+00
-6.498778312336787621e+02 -4.617091278233333469e+02 0.000000000000000000e+00
-6.560870971464848935e+02 -4.593178409630108945e+02 0.000000000000000000e+00
-6.547381118756378555e+02 -4.572433371548142986e+02 0.000000000000000000e+00
-6.593506691919042169e+02 -4.593230907659493027e+02 0.000000000000000000e+00
-6.571073159349207344e+02 -4.568412901941879909e+02 0.000000000000000000e+00
-6.547649276163876948e+02 -4.547317066031758372e+02 0.000000000000000000e+00
-6.619085455611514135e+02 -4.589365638518198693e+02 0.000000000000000000e+00
-6.770988360497702843e+02 -4.617201290265034004e+02 0.000000000000000000e+00
-6.838997884131035789e+02 -4.626175549771917304e+02 0.000000000000000000e+00
-6.832399798880842354e+02 -4.628474226253073311e+02 0.000000000000000000e+00
-6.772644928049963937e+02 -4.635162105042659277e+02 0.000000000000000000e+00
-6.765550768994747841e+02 -4.631899423363652204e+02 0.000000000000000000e+00
-6.732673470133011051e+02 -4.648556736314184263e+02 0.000000000000000000e+00
-6.756760237891217002e+02 -4.642996297567171382e+02 0.000000000000000000e+00
-6.704007536279331134e+02 -4.656742232524509291e+02 0.000000000000000000e+00
-6.755558707813423780e+02 -4.643054102963425294e+02 0.000000000000000000e+00
-6.750580128940007398e+02 -4.638759307082017358e+02 0.000000000000000000e+00
-6.779379107687626629e+02 -4.644745556223178369e+02 0.000000000000000000e+00
-6.820743755501489431e+02 -4.616050523477202319e+02 0.000000000000000000e+00
-6.777745091307956500e+02 -4.642589138675828053e+02 0.000000000000000000e+00
-6.782104568213219409e+02 -4.637769091192683391e+02 0.000000000000000000e+00
-6.774167370141647098e+02 -4.602024429793983700e+02 0.000000000000000000e+00
-6.752505875759190985e+02 -4.648865633208274062e+02 0.000000000000000000e+00
-6.659430688248872912e+02 -4.656364507141350941e+02 0.000000000000000000e+00
-6.659391093979902507e+02 -4.632651712207686501e+02 0.000000000000000000e+00
-6.698796606969293634e+02 -4.630971577506744552e+02 0.000000000000000000e+00
-6.642889106841727198e+02 -4.612132484009916880e+02 0.000000000000000000e+00
-6.526949202426761758e+02 -4.627856162971550020e+02 0.000000000000000000e+00
-6.605425924759102827e+02 -4.637002664503578444e+02 0.000000000000000000e+00
-6.682391368157029774e+02 -4.614402562104252183e+02 0.000000000000000000e+00
-6.671346316085088120e+02 -4.640335551424740856e+02 0.000000000000000000e+00
-6.680276547109044714e+02 -4.649396594521467136e+02 0.000000000000000000e+00
-6.625845213607177584e+02 -4.628691756942398570e+02 0.000000000000000000e+00
-6.747377265201389491e+02 -4.593265721501920780e+02 0.000000000000000000e+00
-6.824401289606065575e+02 -4.606908191003186630e+02 0.000000000000000000e+00
-6.849084624315289602e+02 -4.601393378138535581e+02 0.000000000000000000e+00
-6.749482886399434847e+02 -4.618950113321428148e+02 0.000000000000000000e+00
-6.676855569762772120e+02 -4.596805805056703775e+02 0.000000000000000000e+00
-6.599653187142794195e+02 -4.679463940526703709e+02 0.000000000000000000e+00
-6.596766301244042552e+02 -4.617047327285094980e+02 0.000000000000000000e+00
-6.553657664007391759e+02 -4.630880719184181658e+02 0.000000000000000000e+00
-6.629922922649807333e+02 -4.635999563998189501e+02 0.000000000000000000e+00
-6.653189836349230291e+02 -4.639156669554586188e+02 0.000000000000000000e+00
-6.604938196660002632e+02 -4.623488675644466639e+02 0.000000000000000000e+00
-6.615274412078032356e+02 -4.619279676122080787e+02 0.000000000000000000e+00
-6.609933204645972182e+02 -4.577029526790224736e+02 0.000000000000000000e+00
-6.654401401719874229e+02 -4.593386254363840067e+02 0.000000000000000000e+00
-6.681483215091440115e+02 -4.624442437785803008e+02 0.000000000000000000e+00
-6.746162963930954675e+02 -4.621082080098187816e+02 0.000000000000000000e+00
-6.670638369234706033e+02 -4.628163402038372851e+02 0.000000000000000000e+00
-6.520579357309966326e+02 -4.650472334494440929e+02 0.000000000000000000e+00
-6.506939996639556512e+02 -4.614399300395264163e+02 0.000000000000000000e+00
-6.399530829263886744e+02 -4.610141915484238098e+02 0.000000000000000000e+00
-6.559730092640349994e+02 -4.626718065474548780e+02 0.000000000000000000e+00
-6.603520065081816028e+02 -4.631369915656171656e+02 0.000000000000000000e+00
-6.671520391095116338e+02 -4.623637784533362947e+02 0.000000000000000000e+00
-6.755158705653029756e+02 -4.638419893287763216e+02 0.000000000000000000e+00
-6.749948490130317396e+02 -4.647614914600894735e+02 0.000000000000000000e+00
-6.776689371856410844e+02 -4.602785625660018241e+02 0.000000000000000000e+00
-6.887291591191227553e+02 -4.610810077311149939e+02 0.000000000000000000e+00
-6.748398204386172665e+02 -4.597817833289599889e+02 0.000000000000000000e+00
-6.645047335236429262e+02 -4.632488206903659602e+02 0.000000000000000000e+00
-6.636228507534140135e+02 -4.619762826816770485e+02 0.000000000000000000e+00
-6.645252479064226918e+02 -4.621268747958503127e+02 0.000000000000000000e+00
-6.520681170308267838e+02 -4.648752497997004411e+02 0.000000000000000000e+00
-6.530330783124862819e+02 -4.628046371321265724e+02 0.000000000000000000e+00
-6.618446040367952037e+02 -4.633961559089883053e+02 0.000000000000000000e+00
-6.578939691920459154e+02 -4.615540322893177176e+02 0.000000000000000000e+00
-6.598055613311112211e+02 -4.623170776487127682e+02 0.000000000000000000e+00
-6.608505142393795495e+02 -4.620040698630686506e+02 0.000000000000000000e+00
-6.676849539000538698e+02 -4.614358796876422275e+02 0.000000000000000000e+00
-6.714552333687796590e+02 -4.639176068021423021e+02 0.000000000000000000e+00
-6.627459990771085359e+02 -4.631250388277341585e+02 0.000000000000000000e+00
-6.752064755276700225e+02 -4.627535171314269746e+02 0.000000000000000000e+00
-6.774862963106556890e+02 -4.585923705841919400e+02 0.000000000000000000e+00
-6.610652000338877770e+02 -4.578510564945737542e+02 0.000000000000000000e+00
-6.572151923470329393e+02 -4.586372757074802848e+02 0.000000000000000000e+00
-6.476295760047968315e+02 -4.612311272346858573e+02 0.000000000000000000e+00
-6.604918980675386138e+02 -4.600957791221130151e+02 0.000000000000000000e+00
-6.689944831076380751e+02 -4.690401867086235939e+02 0.000000000000000000e+00
-6.737990604209653611e+02 -4.661024053030719188e+02 0.000000000000000000e+00
-6.701087361430763849e+02 -4.635375042971404014e+02 0.000000000000000000e+00
-6.659171945611768706e+02 -4.645208632916807119e+02 0.000000000000000000e+00
-6.670666759136903465e+02 -4.673946561890311386e+02 0.000000000000000000e+00
-6.690568257526459774e+02 -4.666072761645511946e+02 0.000000000000000000e+00
-6.626416788151577748e+02 -4.692430105065632802e+02 0.000000000000000000e+00
-6.640398127515126134e+02 -4.658285671506646395e+02 0.000000000000000000e+00
-6.742796400153861214e+02 -4.635349766442416239e+02 0.000000000000000000e+00
-6.788698908761396069e+02 -4.625558790279361574e+02 0.000000000000000000e+00
-6.771141439876822687e+02 -4.615427644806411536e+02 0.000000000000000000e+00
-6.840414383643557130e+02 -4.596712048947164249e+02 0.000000000000000000e+00
-6.774917601450096072e+02 -4.585840587476135397e+02 0.000000000000000000e+00
-6.696982111703582632e+02 -4.611179367438707004e+02 0.000000000000000000e+00
-6.602934318228075199e+02 -4.592960214397270988e+02 0.000000000000000000e+00
-6.723703732730650700e+02 -4.564614410189415139e+02 0.000000000000000000e+00
-6.776014732933915639e+02 -4.588977969390397789e+02 0.000000000000000000e+00
-6.809156177238572809e+02 -4.649052609824532283e+02 0.000000000000000000e+00
-6.774680853310932207e+02 -4.638828140647320879e+02 0.000000000000000000e+00
-6.689963849405289693e+02 -4.648535480812146261e+02 0.000000000000000000e+00
-6.717093736932123420e+02 -4.653509875063953700e+02 0.000000000000000000e+00
-6.749092619864942435e+02 -4.651868234957623827e+02 0.000000000000000000e+00
