time.decay.1	time.decay.2	time.decay.3	
9.456264818823308360e+01 8.651472577870558212e+01 1.175758396452957868e+02
8.313584804241304482e+01 7.793770201743774351e+01 1.090307898891566225e+02
9.503871190995110396e+01 8.066193895243816314e+01 1.027680150910732664e+02
1.035640855950421866e+02 8.090719511852135781e+01 9.952139252677980608e+01
1.015186273597420410e+02 1.019415103586653117e+02 9.904719182025120006e+01
1.057198103305808559e+02 1.017001172969671643e+02 1.138877404404777280e+02
1.136517767335984530e+02 9.891255698928470963e+01 1.131164626218708946e+02
1.037938666693727470e+02 1.043772672767135816e+02 1.030827443148708511e+02
9.515389732885039109e+01 8.962782235656706575e+01 9.979245853064020366e+01
8.951249870032964395e+01 9.078701022852602875e+01 9.870163928148403443e+01
1.166304663946987290e+02 9.535777931985388989e+01 1.059966330465253463e+02
1.128779129319253798e+02 9.938020756001219524e+01 1.039685272881559825e+02
1.058234157881661446e+02 8.964125427801687351e+01 9.652822484195988295e+01
9.942342354729258602e+01 1.024050663801254046e+02 9.363532679555906668e+01
9.969452866936882174e+01 9.827077929376635268e+01 1.219763408942858263e+02
1.159272682918555404e+02 9.276105981459410543e+01 1.156294344477317111e+02
1.085123248204305781e+02 7.269760522411041848e+01 1.145734758073496380e+02
1.125788941408505366e+02 8.293013676658318900e+01 8.595072904859216578e+01
9.527586543194385627e+01 1.133592659568086560e+02 1.020024076422595840e+02
9.275057751562144404e+01 1.141590672944887501e+02 9.440334838524030658e+01
9.791209014157114154e+01 1.000360828110785576e+02 9.289452754910422527e+01
1.000629550547434548e+02 1.038788371853373178e+02 9.993841686430560856e+01
1.110247114077579909e+02 9.660674872556431581e+01 9.871836796581165174e+01
9.031805129365936580e+01 1.061929673734159962e+02 1.045953165104060218e+02
9.059128104156322081e+01 1.037830884661686071e+02 1.042193920629963628e+02
1.130458016292509882e+02 7.997486827513831997e+01 1.006058176457676439e+02
8.292445300696635968e+01 1.125002482813335973e+02 1.127401831642793013e+02
9.374361583607004889e+01 1.095169527270869878e+02 8.983914920075488908e+01
1.020003473147012727e+02 1.080220632588104763e+02 1.053186816646481390e+02
1.121712145266152874e+02 1.054111534654566356e+02 1.030432935502906986e+02
1.020842171186334610e+02 9.678799856630416798e+01 9.717885134640141587e+01
1.021950496905938621e+02 9.728979095950268174e+01 9.456519381923575907e+01
9.910934036277248538e+01 1.013908992810171270e+02 9.715075474041717030e+01
1.039508471971769836e+02 9.978868317440871749e+01 9.171881873215919256e+01
1.003854659341807576e+02 9.915329128825001703e+01 1.013124057542883065e+02
9.930414581168271582e+01 1.058291962002189734e+02 9.388153787909934067e+01
1.021080055122402399e+02 1.117472470141389493e+02 9.747356967430650343e+01
9.952073066515610833e+01 8.803610581940083080e+01 1.001949421501559527e+02
9.381558612056184643e+01 1.055455757892081436e+02 9.461181822108333961e+01
