word.concentration.1	word.concentration.2	word.concentration.3	
9.790862910465063962e+00 9.610645635626019256e+00 9.554247772164774943e+00
9.363088563660481256e+00 9.431797780487384486e+00 9.215049730859378840e+00
9.527633691741868915e+00 9.457879981001493519e+00 9.664141647540104074e+00
8.971656673408531901e+00 9.734980305002039813e+00 9.865249213176282339e+00
8.924096669036870821e+00 8.465715547968548194e+00 8.754411173045223649e+00
9.423900714249976218e+00 8.655557390038056909e+00 8.407233662027143950e+00
9.709795673594243226e+00 9.598986824286459552e+00 7.078666187967968426e+00
9.526653027218664249e+00 7.472239964768634835e+00 7.015988545973462109e+00
7.650223797777444545e+00 7.185578592710208490e+00 7.236253029844336382e+00
9.109466323917628117e+00 9.376498436700606121e+00 6.868061071781423443e+00
8.743965217625349950e+00 9.230057654122672872e+00 6.811317514437077669e+00
7.715301384146460606e+00 9.615992143968064454e+00 9.672145068745328089e+00
7.495064839724573602e+00 9.548383027381461829e+00 9.862827491388541645e+00
9.982745951060543632e+00 9.918812201802053252e+00 9.179294223096741590e+00
8.402222843304748778e+00 9.945137749075422917e+00 9.074766590849241865e+00
8.528348974762895551e+00 9.914929615728668821e+00 7.702342102123941991e+00
9.745701521664670963e+00 9.774865205074533492e+00 8.933194715368776073e+00
9.886761765024949966e+00 9.614050794748086659e+00 8.931070134475914912e+00
8.253298974510059338e+00 9.912705730283809302e+00 9.326415668795695169e+00
8.620806928963240523e+00 9.879634287228636680e+00 9.733641365061471262e+00
8.669202194640504899e+00 9.815853835459343202e+00 9.825979111143110956e+00
9.984055655820590403e+00 9.794025774689588459e+00 9.568510195534756235e+00
9.879846522631929417e+00 9.968090680770878009e+00 9.903604060635220918e+00
9.458492880163534622e+00 9.924078625809796605e+00 9.891685123172964111e+00
9.212210478931648794e+00 9.669125550714271711e+00 9.977232491219680810e+00
8.994208215281698671e+00 9.429052331883731597e+00 9.965247791043198688e+00
9.112554104977540703e+00 8.745594970077899433e+00 9.865182303305777722e+00
9.984355925007271537e+00 8.077605403273768303e+00 9.693168623796921679e+00
9.748325394082803186e+00 9.219776284041934389e+00 9.366124438291153709e+00
9.373284718526903703e+00 9.148901813017488394e+00 9.534062302998231431e+00
8.813327094943971929e+00 8.947013548072764166e+00 9.483687272385354916e+00
8.514589238401711668e+00 9.324555662040399540e+00 6.906951349948229790e+00
8.597106234990580020e+00 9.446588767627117633e+00 9.754999336385637321e+00
8.576161735477647596e+00 8.209160211973973276e+00 9.796782541486411588e+00
8.522688864311852797e+00 9.392038893091809726e+00 9.913523362681551987e+00
9.624217881905639871e+00 9.454394843405115267e+00 9.923853472188255864e+00
8.961059523540248151e+00 9.782647786899865139e+00 9.608713130189460827e+00
9.624970767873559652e+00 9.669070464218538774e+00 9.565070320086181965e+00
8.680590787020955545e+00 9.508134039894915901e+00 9.592065550743631874e+00
9.458165035638138818e+00 9.942294581735348302e+00 9.730799202715839868e+00
9.844085268476289841e+00 9.483778791692978771e+00 9.765612895196710497e+00
9.763603629660170924e+00 9.709881732516018715e+00 9.965643950596104972e+00
9.661464447959236423e+00 9.800991252519514418e+00 9.568549166970077735e+00
9.336567408843409410e+00 9.464973106066221220e+00 9.937914735141763600e+00
8.037474837395162552e+00 9.815471363315001696e+00 9.974821276254742131e+00
9.204158954615463628e+00 9.805789937237619824e+00 9.769980917011592325e+00
9.136162359606441186e+00 9.320566444175589993e+00 9.457387084516634346e+00
8.625982927243075693e+00 8.760025597586404089e+00 8.576649738833626913e+00
8.761467377611442231e+00 9.257280444761697424e+00 9.070496678514425426e+00
9.860642421962399595e+00 8.792533332321237793e+00 9.907501180247022532e+00
8.098512145908209447e+00 7.939787565352059318e+00 9.716340187612345858e+00
8.791694805817094505e+00 7.507557257622187841e+00 9.446642659326371927e+00
9.771194281221047717e+00 8.562776678395007224e+00 9.855165613116991352e+00
9.366289577647064490e+00 9.057340916089694716e+00 8.755677717138254934e+00
8.750503843949369198e+00 7.465352315250105342e+00 9.189530116571486218e+00
8.886256382375025353e+00 8.295837923614392651e+00 9.876946049227761648e+00
8.819196366700545298e+00 7.988025684739568533e+00 9.721698083846449734e+00
9.029185570071273759e+00 9.366531263901046955e+00 9.626459575834463323e+00
9.752286151100143741e+00 9.215087447716182822e+00 9.490299862906329764e+00
8.173211873600223498e+00 9.146714386695000698e+00 8.747487063837485977e+00
8.539377042706291832e+00 9.875226106448304009e+00 9.871879840977825893e+00
7.265134515560788486e+00 9.856543632209570305e+00 8.833068096077726139e+00
7.540697642384709631e+00 8.502147952522131291e+00 9.591206678783636974e+00
7.616132351607200590e+00 7.716388692375661940e+00 9.427287402370961189e+00
9.064440728730636110e+00 7.694317873930575757e+00 9.375346933187280740e+00
9.935840682389876832e+00 8.218327649332934470e+00 8.752255399930739088e+00
8.909725084359823910e+00 7.994247108620474940e+00 8.783230600862204085e+00
9.624086993298124781e+00 9.196988820503793960e+00 7.796869487793704145e+00
9.579466944485266922e+00 9.904546321236237461e+00 9.959579817113660027e+00
8.240093883329670632e+00 9.954803040583826146e+00 9.814290073728150432e+00
9.033697770309217390e+00 9.544329744633872181e+00 9.894976464662782689e+00
9.843418106485968266e+00 8.836869237715427872e+00 9.318449175628437331e+00
9.971304705307401761e+00 9.310757500122045727e+00 8.589049646590066089e+00
9.870078951616630292e+00 9.321559180392222643e+00 8.928530657572402163e+00
9.312857038678266974e+00 9.059971093566037581e+00 8.197309297994335608e+00
9.700413539073142744e+00 9.384240262281245748e+00 8.970236984404353464e+00
9.790095811634326850e+00 9.437283731404839671e+00 9.476872942187521076e+00
9.868159316447671969e+00 9.444417050697401450e+00 8.370811130169578007e+00
8.624552521180858022e+00 9.985428426363824883e+00 8.153251218991805160e+00
9.130793347264116733e+00 9.644928244782651205e+00 8.795562071763724177e+00
7.983530885041629332e+00 9.903247939466174543e+00 9.516693287608616103e+00
7.370847589980512815e+00 9.669676100918042749e+00 9.441548361589768845e+00
9.117964356794812986e+00 7.953545562659549262e+00 9.363849855381500831e+00
7.236747740813025409e+00 9.611206223976601848e+00 9.111337824729375257e+00
8.478023624063148134e+00 8.658758383575086981e+00 8.988452334828911816e+00
7.413517268602535459e+00 7.493681870844262072e+00 8.108198789986790445e+00
8.762636160219646086e+00 8.210757797981933948e+00 9.915566585761911966e+00
9.266961969962149936e+00 8.104528737832321639e+00 9.240920539309414039e+00
8.792147695880252911e+00 9.875261362070714810e+00 7.598887880579733967e+00
9.276987946721101608e+00 9.595499855824069613e+00 7.391919467253170062e+00
9.551388419176982225e+00 9.921420671640222011e+00 8.808867196147881273e+00
9.779943021627822475e+00 9.148386455311641186e+00 8.903830370820635665e+00
9.945670231742857581e+00 9.513211013027031981e+00 9.846449418985644186e+00
9.635371979089040195e+00 9.596143651162467592e+00 9.804006229525590754e+00
8.476227773369188867e+00 9.526906416242860942e+00 9.399408121014444006e+00
8.518270629988954568e+00 9.486419483051534485e+00 9.599383201733873605e+00
9.444768307035680266e+00 8.949839119657720943e+00 9.479942574902461061e+00
9.062791843589440788e+00 7.277095148339817854e+00 9.978681398264816593e+00
9.061337668237037235e+00 7.612627946367229725e+00 9.957249793353961209e+00
9.039673913691446572e+00 9.077614505661724564e+00 8.979476959846163453e+00
9.697470900496236723e+00 8.183713953788085860e+00 9.149354151524342171e+00
9.025694188904042292e+00 8.084866627570942654e+00 9.262206446870127508e+00
9.308384693731719395e+00 9.031022778363226422e+00 9.342077046130736306e+00
8.268703852728426895e+00 9.707185629669378812e+00 8.887513160444516558e+00
9.540254266210094869e+00 7.751722509656294946e+00 9.774273169086987068e+00
9.633199907684245389e+00 8.764462231984655460e+00 9.291762666493074363e+00
9.505129980432235115e+00 9.044520216589576833e+00 9.521203206294410748e+00
9.476970740497202783e+00 9.671442576292257343e+00 9.558653059547134845e+00
9.617098581636339460e+00 7.660057131828826193e+00 9.427420588445976080e+00
8.643729941222137114e+00 9.230777816463580976e+00 9.837365324354317764e+00
9.154841452912624078e+00 9.101266928547531165e+00 9.509272010580726686e+00
9.663179149250305855e+00 8.470217672644047013e+00 8.724060032315387403e+00
9.762927636562839240e+00 8.719909100742507135e+00 9.982630818982491050e+00
9.651147439354561541e+00 8.375837841565475728e+00 9.607534735568627582e+00
9.890816198210741206e+00 9.434872186764891921e+00 9.889852422142892507e+00
9.913872391072118262e+00 9.939981419849090116e+00 8.540014591073088468e+00
9.953088977487318800e+00 9.239048516917625520e+00 9.363571068081103732e+00
9.741802219298808296e+00 9.119198052076811223e+00 9.283850732014624185e+00
8.394136730617008268e+00 8.627882742334461952e+00 9.536517648910137979e+00
8.907662832157310362e+00 9.806213673817516963e+00 9.954637718864086438e+00
9.464062768001785031e+00 9.141358014169750135e+00 9.421352961455866648e+00
9.738504958268169531e+00 9.685762206363460081e+00 9.741658157067371704e+00
9.591097589753589503e+00 9.600822333462199154e+00 9.978440625309183076e+00
9.917050063186364284e+00 9.011979457508884295e+00 9.813053477866711560e+00
9.875045782601500122e+00 7.907028673904709315e+00 9.457823852371799234e+00
9.982056937369769400e+00 9.377642728356333279e+00 9.086603874899235933e+00
7.594467359016247698e+00 8.082115547696284708e+00 9.092759617032744046e+00
8.752109882626816884e+00 6.937060529341970039e+00 9.560629639481371456e+00
8.009853859305133383e+00 9.070457269616602147e+00 9.737166305855481596e+00
9.331167338234825692e+00 9.565033189011817427e+00 8.383810261429891497e+00
8.654277038592756099e+00 8.523973014873313048e+00 7.406382618997497502e+00
8.792907528998510358e+00 9.754541950699314512e+00 7.483348806172639200e+00
8.402987111195969305e+00 9.578484245224158755e+00 8.052659969324647449e+00
8.338969885880009869e+00 9.298300680498430282e+00 9.851141374127072581e+00
8.269846164185000958e+00 8.895556000986122314e+00 8.511087525841560364e+00
7.420941470301336551e+00 9.039877380908862392e+00 8.519670444846555668e+00
8.475181641147337075e+00 9.703797778287913900e+00 8.533976016553259214e+00
9.799145226939122821e+00 9.475581322848572796e+00 8.922080373976355006e+00
9.557928499156947311e+00 9.522790016252624667e+00 8.488693369118596621e+00
9.780716194396063656e+00 9.965862705185289272e+00 8.182144899612620037e+00
9.504740779909754522e+00 9.744986014631434657e+00 9.455131392573266069e+00
9.265570245706298280e+00 9.960791773375824221e+00 9.942007705539932516e+00
9.117396736752844788e+00 9.736387485203643166e+00 9.594421953923289337e+00
7.818607061587020901e+00 9.877800709398592005e+00 9.526360075449966658e+00
8.231432684239857522e+00 9.908095640558761019e+00 9.579404171571933801e+00
8.043341411115225270e+00 9.915478697387774432e+00 9.729497898858133098e+00
8.475929729629669396e+00 9.881506549941915907e+00 9.976599581683444740e+00
9.882850956702522893e+00 9.867158187532979241e+00 9.506906963399591959e+00
8.659814743739326914e+00 9.931710159488469358e+00 9.208297124476027662e+00
