word.1	word.2	word.3	word.4	word.5	word.6	word.7	word.8	word.9	word.10	word.11	word.12	word.13	word.14	word.15	word.16	word.17	word.18	word.19	word.20	word.21	word.22	word.23	word.24	word.25	word.26	word.27	word.28	word.29	word.30	word.31	word.32	word.33	word.34	word.35	word.36	word.37	word.38	word.39	word.40	word.41	word.42	word.43	word.44	word.45	word.46	word.47	word.48	word.49	word.50	word.51	word.52	word.53	word.54	word.55	word.56	word.57	word.58	word.59	word.60	word.61	word.62	word.63	word.64	word.65	word.66	word.67	word.68	word.69	word.70	word.71	word.72	word.73	word.74	word.75	word.76	word.77	word.78	word.79	word.80	word.81	word.82	word.83	word.84	word.85	word.86	word.87	word.88	word.89	word.90	
0.0119528 0.0118631 0.0128382 0.0133936 0.0117368 0.0129806 0.0109336 0.0105929 0.0120636 0.0114012 0.0118516 0.0115689 0.0118739 0.0118774 0.0120189 0.0109473 0.0122845 0.0117372 0.0117782 0.0118899 0.0117462 0.0120577 0.0112065 0.0102078 0.0104821 0.0106309 0.0108082 0.0102459 0.0106443 0.0103697 0.0105140 0.0105825 0.0107560 0.0104900 0.0105809 0.0106381 0.0114956 0.0112613 0.0114760 0.0114982 0.0103781 0.0111474 0.0101238 0.0107986 0.0104646 0.0108763 0.0105138 0.0106132 0.0104788 0.0096450 0.0105697 0.0103666 0.0109721 0.0106484 0.0107366 0.0103924 0.0106704 0.0110058 0.0106527 0.0115259 0.0119560 0.0123049 0.0116395 0.0116321 0.0111893 0.0114259 0.0105150 0.0106924 0.0103428 0.0102575 0.0109432 0.0111341 0.0107535 0.0104498 0.0102086 0.0108119 0.0113904 0.0102123 0.0109392 0.0105294 0.0119364 0.0117712 0.0122445 0.0119248 0.0119166 0.0106506 0.0106174 0.0107113 0.0108303 0.0102130
0.0112620 0.0106669 0.0109083 0.0109578 0.0109449 0.0106814 0.0111950 0.0107065 0.0106627 0.0107226 0.0111766 0.0108757 0.0107269 0.0103608 0.0104449 0.0105435 0.0107250 0.0104252 0.0107387 0.0101124 0.0106088 0.0107847 0.0117542 0.0116961 0.0113159 0.0118657 0.0128996 0.0118062 0.0117642 0.0119417 0.0119798 0.0118444 0.0120355 0.0121289 0.0120008 0.0119320 0.0105911 0.0108128 0.0102140 0.0105357 0.0107398 0.0110253 0.0101472 0.0111489 0.0101165 0.0112886 0.0111261 0.0104640 0.0105620 0.0105610 0.0106383 0.0111798 0.0107290 0.0106351 0.0111686 0.0108357 0.0109239 0.0105537 0.0108715 0.0112772 0.0110945 0.0108588 0.0104656 0.0111042 0.0107836 0.0107742 0.0115149 0.0121473 0.0120758 0.0121062 0.0115443 0.0112648 0.0120667 0.0118245 0.0118455 0.0120826 0.0119622 0.0122398 0.0116459 0.0120158 0.0108928 0.0106493 0.0104608 0.0110894 0.0103984 0.0110997 0.0107157 0.0105309 0.0107411 0.0106627
0.0119528 0.0118631 0.0128382 0.0133936 0.0117368 0.0129806 0.0109336 0.0105929 0.0120636 0.0114012 0.0118516 0.0115689 0.0118739 0.0118774 0.0120189 0.0109473 0.0122845 0.0117372 0.0117782 0.0118899 0.0117462 0.0120577 0.0112065 0.0102078 0.0104821 0.0106309 0.0108083 0.0102459 0.0106443 0.0103697 0.0105140 0.0105825 0.0107561 0.0104900 0.0105809 0.0106381 0.0114956 0.0112613 0.0114760 0.0114982 0.0103781 0.0111474 0.0101238 0.0107986 0.0104646 0.0108763 0.0105138 0.0106132 0.0104788 0.0096450 0.0105697 0.0103666 0.0109721 0.0106484 0.0107366 0.0103924 0.0106704 0.0110058 0.0106527 0.0115259 0.0119560 0.0123049 0.0116395 0.0116321 0.0111893 0.0114259 0.0105150 0.0106924 0.0103428 0.0102575 0.0109432 0.0111341 0.0107535 0.0104498 0.0102086 0.0108119 0.0113904 0.0102123 0.0109392 0.0105294 0.0119364 0.0117712 0.0122445 0.0119248 0.0119166 0.0106506 0.0106174 0.0107113 0.0108303 0.0102130
0.0107636 0.0107334 0.0103743 0.0103844 0.0112486 0.0113859 0.0119305 0.0102923 0.0100406 0.0107406 0.0108499 0.0104178 0.0111544 0.0105226 0.0111441 0.0102940 0.0109191 0.0112558 0.0102804 0.0103380 0.0104949 0.0112348 0.0109055 0.0111920 0.0108779 0.0111509 0.0106377 0.0107905 0.0103798 0.0113314 0.0113090 0.0110558 0.0114781 0.0114325 0.0108885 0.0108266 0.0103893 0.0106906 0.0110475 0.0108034 0.0121591 0.0121663 0.0119701 0.0124967 0.0115735 0.0113059 0.0122023 0.0125729 0.0119586 0.0115957 0.0125833 0.0117222 0.0120434 0.0117661 0.0114200 0.0117146 0.0119211 0.0116323 0.0119266 0.0103602 0.0105808 0.0109694 0.0110369 0.0105379 0.0115974 0.0104536 0.0108986 0.0107917 0.0107558 0.0106633 0.0106738 0.0104751 0.0108412 0.0108402 0.0108653 0.0103126 0.0108541 0.0109618 0.0109674 0.0106225 0.0104225 0.0110397 0.0106404 0.0111567 0.0106356 0.0115100 0.0118409 0.0120232 0.0118009 0.0121532
0.0119498 0.0118602 0.0128350 0.0133903 0.0117339 0.0129774 0.0109309 0.0105903 0.0120607 0.0113984 0.0118487 0.0115661 0.0118709 0.0118745 0.0120159 0.0109446 0.0122815 0.0117343 0.0117753 0.0118869 0.0117433 0.0120547 0.0112037 0.0102052 0.0104796 0.0106282 0.0108056 0.0102433 0.0106417 0.0103671 0.0105114 0.0105799 0.0107534 0.0104874 0.0105783 0.0106355 0.0114928 0.0112585 0.0114732 0.0114953 0.0103886 0.0111577 0.0101344 0.0108089 0.0104750 0.0108867 0.0105242 0.0106236 0.0104892 0.0096556 0.0105801 0.0103771 0.0109824 0.0106588 0.0107470 0.0104029 0.0106808 0.0110161 0.0106631 0.0115230 0.0119530 0.0123018 0.0116366 0.0116292 0.0111865 0.0114230 0.0105124 0.0106898 0.0103403 0.0102549 0.0109405 0.0111313 0.0107508 0.0104472 0.0102060 0.0108092 0.0113876 0.0102097 0.0109365 0.0105267 0.0119334 0.0117683 0.0122415 0.0119219 0.0119136 0.0106480 0.0106147 0.0107086 0.0108276 0.0102104
0.0112617 0.0106667 0.0109081 0.0109586 0.0109447 0.0106813 0.0111948 0.0107063 0.0106625 0.0107224 0.0111764 0.0108754 0.0107267 0.0103605 0.0104447 0.0105432 0.0107248 0.0104249 0.0107385 0.0101121 0.0106086 0.0107845 0.0117540 0.0116959 0.0113157 0.0118655 0.0128994 0.0118060 0.0117640 0.0119415 0.0119796 0.0118442 0.0120352 0.0121287 0.0120006 0.0119318 0.0105918 0.0108135 0.0102147 0.0105365 0.0107400 0.0110255 0.0101474 0.0111490 0.0101167 0.0112888 0.0111263 0.0104642 0.0105622 0.0105612 0.0106385 0.0111800 0.0107292 0.0106353 0.0111687 0.0108359 0.0109241 0.0105539 0.0108717 0.0112779 0.0110952 0.0108595 0.0104663 0.0111049 0.0107843 0.0107749 0.0115147 0.0121470 0.0120756 0.0121060 0.0115441 0.0112646 0.0120665 0.0118243 0.0118453 0.0120824 0.0119620 0.0122396 0.0116457 0.0120156 0.0108926 0.0106491 0.0104606 0.0110892 0.0103982 0.0110995 0.0107155 0.0105307 0.0107409 0.0106625
0.0119499 0.0118602 0.0128351 0.0133903 0.0117340 0.0129775 0.0109310 0.0105904 0.0120607 0.0113985 0.0118488 0.0115661 0.0118710 0.0118745 0.0120160 0.0109446 0.0122815 0.0117344 0.0117753 0.0118870 0.0117433 0.0120548 0.0112037 0.0102053 0.0104796 0.0106283 0.0108056 0.0102434 0.0106418 0.0103671 0.0105114 0.0105800 0.0107534 0.0104875 0.0105784 0.0106355 0.0114928 0.0112586 0.0114732 0.0114954 0.0103884 0.0111575 0.0101342 0.0108087 0.0104748 0.0108865 0.0105241 0.0106234 0.0104890 0.0096554 0.0105800 0.0103769 0.0109822 0.0106586 0.0107468 0.0104027 0.0106806 0.0110159 0.0106629 0.0115231 0.0119531 0.0123019 0.0116367 0.0116292 0.0111866 0.0114231 0.0105125 0.0106898 0.0103403 0.0102550 0.0109405 0.0111314 0.0107509 0.0104472 0.0102061 0.0108092 0.0113876 0.0102098 0.0109365 0.0105268 0.0119335 0.0117684 0.0122415 0.0119219 0.0119137 0.0106480 0.0106148 0.0107087 0.0108276 0.0102105
0.0107635 0.0107332 0.0103742 0.0103849 0.0112485 0.0113858 0.0119304 0.0102923 0.0100405 0.0107405 0.0108498 0.0104177 0.0111543 0.0105224 0.0111439 0.0102939 0.0109190 0.0112556 0.0102803 0.0103379 0.0104948 0.0112347 0.0109054 0.0111919 0.0108777 0.0111508 0.0106376 0.0107904 0.0103797 0.0113313 0.0113089 0.0110557 0.0114779 0.0114324 0.0108884 0.0108265 0.0103892 0.0106905 0.0110473 0.0108033 0.0121590 0.0121662 0.0119700 0.0124965 0.0115734 0.0113058 0.0122022 0.0125728 0.0119585 0.0115956 0.0125832 0.0117221 0.0120433 0.0117660 0.0114199 0.0117145 0.0119210 0.0116322 0.0119265 0.0103608 0.0105813 0.0109700 0.0110374 0.0105384 0.0115980 0.0104541 0.0108986 0.0107917 0.0107558 0.0106633 0.0106738 0.0104751 0.0108413 0.0108402 0.0108653 0.0103126 0.0108541 0.0109618 0.0109674 0.0106225 0.0104231 0.0110402 0.0106410 0.0111573 0.0106361 0.0115099 0.0118408 0.0120231 0.0118007 0.0121530
0.0119492 0.0118596 0.0128343 0.0133896 0.0117333 0.0129768 0.0109304 0.0105898 0.0120600 0.0113978 0.0118481 0.0115655 0.0118703 0.0118739 0.0120153 0.0109440 0.0122808 0.0117337 0.0117747 0.0118863 0.0117427 0.0120541 0.0112031 0.0102047 0.0104790 0.0106277 0.0108050 0.0102428 0.0106412 0.0103666 0.0105108 0.0105794 0.0107528 0.0104869 0.0105778 0.0106349 0.0114922 0.0112579 0.0114726 0.0114948 0.0103874 0.0111565 0.0101332 0.0108077 0.0104738 0.0108854 0.0105230 0.0106223 0.0104880 0.0096544 0.0105789 0.0103759 0.0109811 0.0106575 0.0107458 0.0104017 0.0106796 0.0110149 0.0106619 0.0115224 0.0119524 0.0123012 0.0116360 0.0116286 0.0111860 0.0114225 0.0105119 0.0106892 0.0103397 0.0102544 0.0109399 0.0111308 0.0107503 0.0104467 0.0102055 0.0108086 0.0113870 0.0102092 0.0109359 0.0105262 0.0119328 0.0117677 0.0122409 0.0119213 0.0119130 0.0106601 0.0106269 0.0107208 0.0108397 0.0102226
0.0119493 0.0118597 0.0128345 0.0133897 0.0117335 0.0129769 0.0109305 0.0105899 0.0120602 0.0113979 0.0118482 0.0115656 0.0118704 0.0118740 0.0120154 0.0109441 0.0122810 0.0117338 0.0117748 0.0118865 0.0117428 0.0120542 0.0112032 0.0102048 0.0104791 0.0106278 0.0108051 0.0102429 0.0106413 0.0103667 0.0105109 0.0105795 0.0107530 0.0104870 0.0105779 0.0106351 0.0114923 0.0112581 0.0114727 0.0114949 0.0103870 0.0111561 0.0101328 0.0108074 0.0104735 0.0108851 0.0105227 0.0106220 0.0104877 0.0096541 0.0105786 0.0103756 0.0109808 0.0106572 0.0107455 0.0104014 0.0106793 0.0110146 0.0106616 0.0115225 0.0119526 0.0123014 0.0116361 0.0116287 0.0111861 0.0114226 0.0105120 0.0106894 0.0103398 0.0102545 0.0109400 0.0111309 0.0107504 0.0104468 0.0102056 0.0108088 0.0113871 0.0102093 0.0109360 0.0105263 0.0119330 0.0117679 0.0122410 0.0119214 0.0119132 0.0106598 0.0106265 0.0107204 0.0108394 0.0102223
