token.id	token
1	"b"['good', 'evening', 'from', 'the', 'thomas', 'and', 'mack', 'center', 'at', 'the', 'university', 'of', 'nevada', ',', 'las', 'vegas', '.']""
2	"b'[\'i\', "\'m", \'chris\', \'wallace\', \'of\', \'fox\', \'news\', \',\', \'and\', \'i\', \'welcome\', \'you\', \'to\', \'the\', \'third\', \'and\', \'final\', \'of\', \'the\', \'2016\', \'presidential\', \'debates\', \'between\', \'secretary\', \'of\', \'state\', \'hillary\', \'clinton\', \'and\', \'donald\', \'j.\', \'trump\', \'.\']'"
3	"b"['you', 'have', 'two', 'minutes', '.']""
4	"b"['mr.', 'trump', ',', 'thank', 'you', '.']""
5	"b"['secretary', 'clinton', '...']""
6	"b"['all', 'right', '.']""
7	"b"['we', 'need', 'strong', 'borders', '.']""
8	"b"['no', 'puppet', '.']""
9	"b"['for', 'the', 'record', ',', 'i', 'decided', 'the', 'topics', 'and', 'the', 'questions', 'in', 'each', 'topic', '.']""
10	"b"['none', 'of', 'those', 'questions', 'has', 'been', 'shared', 'with', 'the', 'commission', 'or', 'the', 'two', 'candidates', '.']""
11	"b"['the', 'audience', 'here', 'in', 'the', 'hall', 'has', 'promised', 'to', 'remain', 'silent', '.']""
12	"b"['no', 'cheers', ',', 'boos', ',', 'or', 'other', 'interruptions', 'so', 'we', 'and', 'you', 'can', 'focus', 'on', 'what', 'the', 'candidates', 'have', 'to', 'say', '.']""
13	"b"['no', 'noise', ',', 'except', 'right', 'now', ',', 'as', 'we', 'welcome', 'the', 'democratic', 'nominee', 'for', 'president', ',', 'secretary', 'clinton', ',', 'and', 'the', 'republican', 'nominee', 'for', 'president', ',', 'mr.', 'trump', '.']""
14	"b"['secretary', 'clinton', ',', 'mr.', 'trump', ',', 'welcome', '.']""
15	"b'[\'let\', "\'s", \'get\', \'right\', \'to\', \'it\', \'.\']'"
16	"b"['the', 'first', 'topic', 'is', 'the', 'supreme', 'court', '.']""
17	"b"['you', 'both', 'talked', 'briefly', 'about', 'the', 'court', 'in', 'the', 'last', 'debate', ',', 'but', 'i', 'want', 'to', 'drill', 'down', 'on', 'this', ',', 'because', 'the', 'next', 'president', 'will', 'almost', 'certainly', 'have', 'at', 'least', 'one', 'appointment', 'and', 'likely', 'or', 'possibly', 'two', 'or', 'three', 'appointments', '.']""
18	"b"['which', 'means', 'that', 'you', 'will', ',', 'in', 'effect', ',', 'determine', 'the', 'balance', 'of', 'the', 'court', 'for', 'what', 'could', 'be', 'the', 'next', 'quarter', 'century', '.']""
19	"b"['first', 'of', 'all', ',', 'where', 'do', 'you', 'want', 'to', 'see', 'the', 'court', 'take', 'the', 'country', '?']""
20	"b'[\'and\', \'secondly\', \',\', \'what\', "\'s", \'your\', \'view\', \'on\', \'how\', \'the\', \'constitution\', \'should\', \'be\', \'interpreted\', \'?\']'"
